Country,EOR_Method,Porosity,Permeability,Depth,Gravity,Viscocity,Temperature,Oil_Saturation,Project_Eval ,Profit
USA,Polymer,14,40,4800,34,2.63,102,50,succ,No
Norway,Steam Injection,31,205,1200,19,32,105,57,Disc.,No
USA,CO2 Injection,23,30,2680,40,1,82,60,Disc.,No
USA,CO2 Injection,16,20,4500,41,1.1,97,35,Disc.,good
USA,CO2 Injection,18,2,5400,42,0.4,104,39,Disc.,good
USA,CO2 Injection,7,2,8200,33,1.2,120,50,Disc.,No
USA,CO2 Injection,10,3,4900,34,2.3,98,35,Disc.,No
Canada,HC injection,9.1,50,6400,43,0.39,195,67,Disc.,good
Canada,HC injection,8,50,6330,44,0.4,195,67,Disc.,good
USA,Steam Injection,60,3,1500,30,40,110,45,Prom,good
USA,Steam Injection,33,4000,1200,13,2800,110,50,Prom,Prom
USA,Steam Injection,65,1,800,14,3000,90,65,Prom,Prom
USA,Steam Injection,22,100,800,20,20,54,85,Prom,Prom
USA,Steam Injection,40.3,3048,175,12.7,2200,75,55,Prom,good
USA,Steam Injection,39.2,955,300,13.9,1000,80,48,Prom,good
Canada,Steam Injection,32,2000,1395,10,200000,55,70,Prom,good
Germany,Steam Injection,30,10000,2700,25,175,100,70,Prom,good
Germany,Steam Injection,30,10000,2600,25,175,100,7,Prom,good
Germany,Steam Injection,30,10000,2600,25,175,100,70,Prom,good
Norway,Steam Injection,31,95,1400,17,175,110,58,Prom,No
Norway,Steam Injection,29,265,2100,17,200,110,75,Prom,good
USA,CO2 Injection,27,1000,5700,31,1.24,165,30,Prom,good
Canada,CO2 Injection,15,10,4655,28,3,140,45,Prom,good
USA,CO2 Injection,14,50,9400,38,1,82,45,Prom,good
USA,CO2 Injection,10,2,4950,32,2,105,55,Prom,good
USA,CO2 Injection,12,5,5700,42,0.6,129,60,Prom,good
USA,CO2 Injection,10,6,5400,33,2,108,60,Prom,Prom
USA,CO2 Injection,16,37,2600,36,1.6,83,60,Prom,good
USA,CO2 Injection,11.6,4,4500,40,1,101,60,Prom,good
USA,CO2 Injection,13,30,1150,35,0.6,99,32,Prom,good
USA,CO2 Injection,23,300,4850,22,17,152,37,Prom,good
Canada,CO2 Injection,16.3,7.5,4600,30,3,149,45,Prom,good
Canada,HC injection,8.5,300,5500,39,0.46,190,45,Prom,good
USA,Combustion,17,10,8800,33,1.44,200,85,Prom,good
USA,Combustion,17,10,8300,33,1.44,200,83,Prom,good
USA,Polymer,10,16,9000,30,2,200,32,Prom,good
USA,Steam Injection,32,2000,1300,13,8000,95,60,succ,good
USA,Steam Injection,34,1000,800,10,25000,84,55,succ,good
USA,Steam Injection,36,2000,1000,14,2000,105,65,succ,good
USA,Steam Injection,40,2000,200,13,3500,82,60,succ,good
USA,Steam Injection,36,2000,600,12,45000,83,60,succ,good
USA,Steam Injection,30,3000,1300,12,3000,100,70,succ,good
USA,Steam Injection,30,3000,1300,13,4000,100,70,succ,good
USA,Steam Injection,30,4500,1300,13,4000,90,60,succ,good
USA,Steam Injection,30,3000,1100,11,10000,130,75,succ,good
USA,Steam Injection,30,300,1100,13,3500,104,65,succ,good
USA,Steam Injection,65,5,1000,12.5,1000,90,75,succ,good
USA,Steam Injection,31,5000,1000,14,6000,90,60,succ,good
USA,Steam Injection,34.5,2000,2300,12,1000,130,55,succ,good
USA,Steam Injection,32.5,2260,2100,11,3000,125,55,succ,good
USA,Steam Injection,30,3500,800,10,10000,90,60,succ,good
USA,Steam Injection,30,3000,1300,14,4000,85,70,succ,good
USA,Steam Injection,30,2000,1000,13,8000,80,70,succ,good
USA,Steam Injection,27,1500,1800,13,10000,90,60,succ,good
USA,Steam Injection,58,5,1500,13,2000,100,50,succ,good
USA,Steam Injection,34.8,2700,1200,12,5200,100,53,succ,good
USA,Steam Injection,30,3000,1500,12,4000,100,60,succ,good
USA,Steam Injection,31,1300,1500,11,5000,100,50,succ,good
USA,Steam Injection,30,2250,1500,12,5000,100,60,succ,good
USA,Steam Injection,34,1510,1640,14,3720,100,44,succ,good
USA,Steam Injection,32,2000,1000,13,4000,90,50,succ,good
USA,Steam Injection,34,6700,1900,12,1200,135,46,succ,good
USA,Steam Injection,38,2000,1250,13,450,95,85,succ,good
USA,Steam Injection,30,2800,1000,14,2000,90,50,succ,good
USA,Steam Injection,30,2000,1800,14.8,1525,95,45,succ,good
USA,Steam Injection,32,1500,1200,14,1400,80,50,succ,good
USA,Steam Injection,34,1300,1300,16,345,1000,80,succ,good
USA,Steam Injection,37,8000,1500,12,3000,100,65,succ,Prom
USA,Steam Injection,30,1000,2000,13,3000,80,70,succ,good
USA,Steam Injection,31,1000,2300,13,300,125,58,succ,Prom
Canada,Steam Injection,32.5,4000,1480,13,13000,66,90,succ,good
Canada,Steam Injection,32,3500,1600,12,200000,60,60,succ,good
Canada,Steam Injection,33,7500,1640,12,25000,70,85,succ,good
Canada,Steam Injection,35,1500,1509,10.2,100000,55,70,succ,good
Canada,Steam Injection,26.5,3000,1800,8,300000,63,0.8,succ,Prom
Canada,Steam Injection,28.5,1500,1800,8,100000,62,80,succ,good
Brazil,Steam Injection,27,3000,2300,13,825,124,76,succ,good
Brazil,Steam Injection,25,4000,1150,15,1700,100,70,succ,good
